task_name,feedback_loop,directive,task_iteration,validation,learning,filtered
accept commissions to create music for special occasions.,0.0,0.0,0.0,0.0,0.0,1.0
act as advisers to student organizations.,0.0,0.3829787234042553,0.3617021276595745,0.0,0.0,0.2553191489361702
act as an advocate for farmers or farmers' groups.,0.0,0.0,0.0,0.0,0.0,1.0
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.0,0.391304347826087,0.4347826086956521,0.0,0.0,0.1739130434782608
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.0,0.391304347826087,0.3768115942028985,0.0,0.0,0.2318840579710145
act as liaisons between on-site managers or tenants and owners.,0.0,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444
adapt instructional content or delivery methods for different levels or types of learners.,0.0105580693815987,0.282051282051282,0.6178984414278532,0.0186023127199597,0.0603318250377073,0.0105580693815987
adapt or design computer hardware or software for medical science uses.,0.0,0.0,0.0,0.0,0.0,1.0
adapt software and accompanying technical documents to another language and culture.,0.0,0.0,0.4444444444444444,0.0,0.0,0.5555555555555556
adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.0142857142857142,0.2722222222222222,0.5301587301587302,0.0325396825396825,0.1349206349206349,0.0158730158730158
adapt text to accommodate musical requirements of composers and singers.,0.0,0.5826086956521739,0.4,0.0,0.0,0.017391304347826
adapt the quantity of ingredients to match the amount of items to be baked.,0.0,0.0,0.0,0.0,0.0,1.0
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.0,0.5859649122807018,0.3298245614035088,0.0,0.0,0.0842105263157894
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.0,0.0,0.0,0.0,0.0,1.0
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.0,0.0,0.0,0.0,0.0,1.0
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.0369535826949076,0.3420459666516449,0.0833708877872915,0.0513744930148715,0.4366831906264083,0.049571879224876
"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0.0,0.0,0.0,0.0,0.0,1.0
"adjust digital files to alter print elements, such as fonts, graphics, or color separations.",0.0,0.5,0.4814814814814814,0.0,0.0,0.0185185185185185
adjust sales scripts to better target the needs and interests of specific individuals.,0.0,0.0,0.5319148936170213,0.0,0.0,0.4680851063829787
"adjust, maintain, or repair laboratory equipment such as microscopes.",0.0,0.0,0.0,0.0,0.0,1.0
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.0,0.0,0.0,0.0,0.0,1.0
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.0,0.3908045977011494,0.2183908045977011,0.0,0.2528735632183908,0.1379310344827586
"administer highway planning, construction, or maintenance.",0.0,0.0,0.0,0.0,0.0,1.0
administer online purchasing systems.,0.0,0.3225806451612903,0.0,0.0,0.2903225806451613,0.3870967741935484
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.0,0.4390243902439024,0.0,0.0,0.0,0.5609756097560976
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.0,0.1969696969696969,0.1136363636363636,0.0,0.6439393939393939,0.0454545454545454
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.0,0.1336898395721925,0.1122994652406417,0.0,0.7165775401069518,0.0374331550802139
"administer, proctor, or score academic or diagnostic assessments.",0.0,0.5511111111111111,0.0377777777777777,0.2311111111111111,0.1177777777777777,0.0622222222222222
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.0816326530612244,0.1904761904761904,0.0510204081632653,0.0,0.6530612244897959,0.0238095238095238
"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",0.0,0.0,0.0,0.0,0.7391304347826086,0.2608695652173913
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.0,0.2040816326530612,0.2312925170068027,0.0,0.4965986394557823,0.0680272108843537
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.1684210526315789,0.1684210526315789,0.1684210526315789,0.0,0.4421052631578947,0.0526315789473684
advise clients about proper clothing and shoes.,0.0,0.0,0.0,0.0,0.75,0.25
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.0,0.0,0.0,0.0,0.6739130434782609,0.3260869565217391
advise clients on financial and legal matters such as investments and taxes.,0.0,0.1374269005847953,0.1052631578947368,0.0,0.7017543859649122,0.0555555555555555
advise clients on how they could be helped by counseling.,0.0,0.147410358565737,0.0597609561752988,0.0,0.6812749003984063,0.1115537848605577
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.0463215258855585,0.1907356948228883,0.2288828337874659,0.0,0.4904632152588556,0.0435967302452316
advise clients on nail care and use of products and colors.,0.0,0.0,0.0,0.0,0.0,1.0
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.0,0.0,0.0,0.0,0.59375,0.40625
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.0,0.2441860465116279,0.2093023255813953,0.0,0.4534883720930232,0.0930232558139534
advise corporations on issues involving corporate image projects or problems.,0.0,0.2159090909090909,0.2840909090909091,0.2613636363636363,0.2045454545454545,0.034090909090909
advise customer about or perform maintenance of software system.,0.0,0.0,0.0,0.0,0.6730769230769231,0.3269230769230769
"advise customers concerning equipment operation, maintenance, or programming.",0.0,0.0,0.0,0.0,0.0,1.0
advise customers of necessary actions and strategies for debt repayment.,0.0,0.2666666666666666,0.0,0.0,0.4166666666666667,0.3166666666666666
advise customers on plant selection or care.,0.0,0.0,0.0,0.0,0.7727272727272727,0.2272727272727272
advise customers on product usage to improve production.,0.0,0.0,0.0,0.0,0.0,1.0
advise customers on use and care of merchandise.,0.0,0.0,0.0,0.0,0.5675675675675675,0.4324324324324324
advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0,0.0,0.0,0.0,0.0,1.0
"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.0,0.0,0.0,0.0,0.3902439024390244,0.6097560975609756
advise farmers or growers of development programs or new equipment or techniques to aid in quality production.,0.0,0.2554744525547445,0.291970802919708,0.0,0.364963503649635,0.0875912408759124
"advise food service managers and organizations on sanitation, safety procedures, menu development, budgeting, and planning to assist with the establishment, operation, and evaluation of food service facilities and nutrition programs.",0.0,0.0,0.0,0.0,0.0,1.0
advise internal management or business partners on the implementation or operation of compliance programs.,0.0,0.0,0.0,0.0,0.7948717948717948,0.2051282051282051
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",0.0,0.0,0.0,0.0,0.0,1.0
"advise management concerning personnel, managerial, and marketing policies and practices and their potential effects on organizational effectiveness and efficiency.",0.0,0.1296296296296296,0.2407407407407407,0.0,0.5370370370370371,0.0925925925925925
advise management on matters related to the administration of contracts or employee discipline or grievance procedures.,0.0,0.0,0.0,0.0,0.0,1.0
"advise management on organizing, preparing, or implementing recruiting or retention programs.",0.0,0.0,0.0,0.0,0.0,1.0
"advise management on short-term and long-term financial objectives, policies, and actions.",0.0,0.0,0.0,0.0,0.6071428571428571,0.3928571428571428
"advise management on such matters as equal employment opportunity, sexual harassment and discrimination.",0.0,0.0,0.0,0.0,0.0,1.0
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements.",0.0,0.3033707865168539,0.2247191011235955,0.0,0.3258426966292135,0.146067415730337
"advise managers and employees on state and federal employment regulations, collective agreements, benefit and compensation policies, personnel procedures and classification programs.",0.0,0.0,0.0,0.0,0.6,0.4
"advise managers on organizational policy matters such as equal employment opportunity and sexual harassment, and recommend needed changes.",0.0,0.2982456140350877,0.2982456140350877,0.0,0.3859649122807017,0.0175438596491228
advise or assist in obtaining patents or meeting other legal requirements.,0.0,0.147239263803681,0.1411042944785276,0.0,0.6257668711656442,0.0858895705521472
advise or consult with individuals and institutions regarding issues such as the historical authenticity of materials or the customs of a specific historical period.,0.0256410256410256,0.2141779788838612,0.1040723981900452,0.0512820512820512,0.5656108597285068,0.0392156862745098
"advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.",0.0,0.1598639455782313,0.1394557823129251,0.0,0.6462585034013606,0.0544217687074829
advise participants in use of heat or ultraviolet treatments and hot baths.,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111
advise patients about recommended courses of treatment.,0.0,0.0,0.0,0.0,0.0,1.0
advise patients about therapeutic exercise and nutritional medicine regimens.,0.0,0.0,0.0,0.0,0.7446808510638298,0.2553191489361702
"advise patients and community members concerning diet, activity, hygiene, and disease prevention.",0.0,0.0,0.0,0.0,0.8791208791208791,0.1208791208791208
"advise patients and their families on nutritional principles, dietary plans and diet modifications, and food selection and preparation.",0.0289449112978524,0.099906629318394,0.0793650793650793,0.0,0.7712418300653595,0.0205415499533146
"advise patients, parents or guardians, and community members concerning diet, activity, hygiene, and disease prevention.",0.0,0.0,0.0,0.0,0.9545454545454546,0.0454545454545454
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards.",0.0,0.0,0.0,0.0,0.6551724137931034,0.3448275862068966
"advise planning officials on project feasibility, cost-effectiveness, regulatory conformance, or possible alternatives.",0.0,0.1875,0.2734375,0.0,0.4375,0.1015625
advise producers about improved products and techniques that could enhance their animal production efforts.,0.0,0.0,0.0,0.0,0.4130434782608695,0.5869565217391305
"advise project teams on subjects such as premarket regulatory requirements, export and labeling requirements, or clinical study compliance issues.",0.0,0.0,0.0,0.0,0.8082191780821918,0.1917808219178082
advise students on academic and vocational curricula and on career issues.,0.0,0.1779661016949152,0.2584745762711864,0.0,0.4194915254237288,0.1440677966101695
"advise students on academic and vocational curricula, and on career issues.",0.0,0.2386363636363636,0.2159090909090909,0.0,0.4204545454545454,0.125
"advise students on academic and vocational curricula, career issues, and laboratory and field research.",0.0,0.0,0.0,0.0,0.0,1.0
"advise students on internships, prospective employers, and job placement services.",0.0,0.0,0.3846153846153846,0.0,0.0,0.6153846153846154
"advise students on issues such as course selection, progress toward graduation, and career decisions.",0.0,0.0,0.0,0.0,0.0,1.0
advocate for accessible health care that minimizes environmental health risks.,0.0,0.0,0.0,0.0,0.4705882352941176,0.5294117647058824
"advocate for patients' and families' needs, or provide emotional support for patients and their families.",0.0,0.0,0.0,0.0,0.0,1.0
"advocate for sustainability to community groups, government agencies, the general public, or special interest groups.",0.0,0.0,0.0,0.0,0.0,1.0
"align, adjust, or calibrate equipment according to specifications.",0.0,0.1818181818181818,0.1983471074380165,0.0,0.4297520661157025,0.1900826446280991
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles.",0.0,0.5545454545454546,0.3909090909090909,0.0,0.0,0.0545454545454545
